因子,方向
"['new_on_balance_volume', 'eri_high_20', 'MeanAmplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '成交额_mean_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'On_balance_value']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'Popularity_Index_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'K线长度_max_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', '成交额_std_10']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'bais_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'bais_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'bais_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '量价相关系数_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'alpha150']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_std_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_std_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_std_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_mean_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '涨跌幅_mean_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'close']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'eri_low_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'eri_low_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'emv_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'emv_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'emv_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'amplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'amplitude_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'amplitude_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'turnover_rate_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'turnover_rate_10']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'turnover_rate_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'k_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'k_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'k_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'd_indicator_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'd_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'd_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'j_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'j_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'j_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'investment_income_coverage']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'interest_income_coverage']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'profit_margin']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'peg']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'eps']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'expense_coverage_ratio']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'roa']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'debt_to_equity_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'roe']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'pb_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'pe_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '成交额_std_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'Stochastic_K_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'Volume_Ratio_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'MeanAmplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '成交额_mean_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'On_balance_value']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'Popularity_Index_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'K线长度_max_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', '成交额_std_10']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'bais_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', 'bais_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'bais_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '量价相关系数_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'alpha150']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_std_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_std_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_std_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_mean_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', '涨跌幅_mean_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_5', 'close']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'eri_low_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'emv_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'emv_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'emv_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'amplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'amplitude_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'amplitude_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'turnover_rate_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'turnover_rate_10']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'turnover_rate_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'k_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'k_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'k_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'd_indicator_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'd_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'd_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'j_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'j_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'j_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'investment_income_coverage']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'interest_income_coverage']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'profit_margin']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'peg']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'eps']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'expense_coverage_ratio']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'roa']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'debt_to_equity_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'roe']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'pb_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'pe_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', '成交额_std_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'Stochastic_K_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'Volume_Ratio_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', 'MeanAmplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_low_10', '成交额_mean_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_low_10', 'On_balance_value']","['true', 'false', 'false']"
